name	type	type2	code	alternategfx	namestr	version	compactsave	rarity	spawnable	Transmogrify	TMogType	TMogMin	TMogMax	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	magic lvl	auto prefix	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	*comment	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	worldevent
Throwing Spear	jave		tsp	pil	tsp	0		4	1	0	xxx			5	15					12	30	2	-10	75	75		65	6		29	0	0	48	18392			tsp	9ts	7ts	1ht	1ht	5	1ht	1	4	1	32	80	80	flptsp	invtsp					0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			371	7	2	0	3					255					255					255					255					255					255					20					255					255					255					255					255	1	1	1	2	20	1	1			255					255			1	1	20	1	1	1	1	20	1	2	0	xxx	xxx	1	0	
Spear	spea		spr	spr	spr	0		4	1	0	xxx						1	3	15			3	-10	100			20	30		5	0	0	300	6500			spr	9sr	7sr	2ht	2ht	5	2ht	2	4					flpspr	invspr			1	3	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	5	8	0	spt	pik	1	0	
Trident	spea		tri	tri	tri	0		4	1	0	xxx						1	9	15			3		100		38	24	35		9	0	0	683	13147			tri	9tr	7tr	2ht	2ht	5	2ht	2	4					flptri	invtri	invtriu	invtriu	1	4	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255	1	1	1	1	20					255	1	1			20					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	5	8	0	spt	pik	1	0	
Brandistock	spea		brn	brn	brn	0		4	1	0	xxx						1	7	17			4	-20	100		40	50	28		16	0	0	1162	29092			brn	9br	7br	2ht	2ht	5	2ht	2	4					flpbrn	invbrn			1	5	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255	5	8	0	xxx	pik	1	0	
Spetum	spea		spt	tri	spt	0		4	1	0	xxx						1	15	23			4		100		54	35	28		20	0	0	1672	45940			spt	9st	7st	2ht	2ht	5	2ht	2	4					flpspt	invspt			1	6	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1		1	1	2	20					255					255					255					255	5	8	0	xxx	xxx	1	0	
Pike	spea		pik	pik	pik	0		4	1	0	xxx						1	14	63			4	20	100		60	45	25		24	0	0	2023	63052			pik	9p9	7p7	2ht	2ht	5	2ht	2	4					flppik	invpik			1	6	0	3 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255					255					255			1	1	30					255					255					255					255					255					255		1			255		1			255	1	1	1	2	20					255	1	1	1	2	20					255					255	5	8	0	xxx	xxx	1	0	
Bardiche	pole		bar	hal	bar	0		4	1	0	xxx						1	1	27			2	10	100		40		50		5	0	0	302	6510			bar	9b7	7o7	stf	stf	5	2hsl	2	4					flpbar	invbar			1	3	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	2	2	0	hal	wsc	1	0	
Voulge	pole		vou	hal	vou	0		4	1	0	xxx						1	6	21			2		100		50		50		11	0	0	611	14721			vou	9vo	7vo	stf	stf	5	2hsl	2	4					flpvou	invvou			1	4	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255		1		1	20					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	hal	wsc	1	0	
Scythe	pole		scy	scy	scy	0		4	1	0	xxx						1	8	20			1	-10	100		41	41	65		15	0	0	848	22720			scy	9s8	7s8	stf	stf	5	2hsl	2	4					flpscy	invscy	invscyu	invscyu	1	5	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255		1		1	20					255				1	255			1	1	20					255				1	1					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255	2	2	0	hal	wsc	1	0	
Poleaxe	pole		pax	hal	pax	0		4	1	0	xxx						1	18	39			3	10	100		62		65		21	0	0	1701	48721			pax	9pa	7pa	stf	stf	5	2hsl	2	4					flppax	invpax			1	5	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255		1	1	1	20					255					255					255					255	2	2	0	xxx	xxx	1	0	
Halberd	pole		hal	pax	hal	0		4	1	0	xxx						1	12	45			4		100		75	47	55		29	0	0	2706	95474			hal	9h9	7h7	stf	stf	5	2hsl	2	4					flphal	invhal			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	20					255	1	1	1	1	20					255					255	2	2	0	xxx	xxx	1	0	
War Scythe	pole		wsc	scy	wsc	0		3	1	0	xxx						1	15	36			4	-10	100		80	80	55		34	0	0	3388	134692			wsc	9wc	7wc	stf	stf	5	2hsl	2	4					flpwsc	invwsc			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					20					255					255					255					255					255			1	2	20					255			1	1	20					255					255	2	2	0	xxx	xxx	1	0	
Short Staff	staf		sst	bst	sst	0		2	1	0	xxx						1	1	5			1	-10	100				20		1	0	0	168	3168	1		sst	8ss	6ss	stf	stf	5	club	1	3					flpsst	invsst			1	2	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255	5	9	5	9	1					255					255					255					255					255					1					255					255					255					255					255					255					255					255	5	8	0	cst	bst	1	0	
Long Staff	staf		lst	sst	lst	0		2	1	0	xxx						1	2	8			1		100				30		8	0	0	463	10204	1		lst	8ls	6ls	stf	stf	5	staf	1	4					flplst	invlst			1	3	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255	2	3	1	2	1					255					255	1	2		2	1					255					255	1	1		1	1					255					255					255					255					255					255					255					255	5	8	0	cst	wst	1	0	
Gnarled Staff	staf		cst	cst	cst	0		2	1	0	xxx						1	4	12			1	10	100				35		12	0	0	766	17692	1		cst	8cs	6cs	stf	stf	5	staf	1	4					flpcst	invcst	invcstu	invcstu	1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255	3	5	5	9	1					255					255	2	3	2	5	1					255					255					255					255					255					255					255					255	5	8	0	xxx	wst	1	0	
Battle Staff	staf		bst	sst	bst	0		2	1	0	xxx						1	6	13			1		100				40		17	0	0	1223	31791	1		bst	8bs	6bs	stf	stf	5	staf	1	4					flpbst	invbst			1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255	1	3	1	3	1					255					255	2	3	2	5	1					255					255					255					255	2	3	1	3	20					255					255	2	3	1	4	20	5	8	0	xxx	xxx	1	0	
War Staff	staf		wst	lst	wst	0		2	1	0	xxx						1	12	28			1	20	100				50		24	0	0	1985	62140	1		wst	8ws	6ws	stf	stf	5	staf	2	4					flpwst	invwst			1	6	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255	1	2	1	2	20					255					255	1	3	1	4	20	5	8	0	xxx	xxx	1	0	
Short Bow	bow		sbw	sbw	sbw	0		2	1	0	xxx						1	1	4				5		100		15	20	1	1	0	0	100	3100			sbw	8sb	6sb	bow	bow	6	bow	2	3					flpsbw	invsbw			1	3	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1	1	1	1	1	1					255					255					255					255					255					255					255					255					1					255					255					255					255					255					255					255	5	8	0	hbw	cbw	1	0	
Hunter's Bow	bow		hbw	sbw	hbw	0		2	1	0	xxx						1	2	6				-10		100		28	32	1	5	0	0	350	6750			hbw	8hb	6hb	bow	bow	6	bow	2	3					flphbw	invhbw			1	4	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1	1	1	1	1	1		1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	5	8	0	lbw	sbb	1	0	
Long Bow	bow		lbw	lbw	lbw	0		2	1	0	xxx						1	3	10						100	22	19	28	1	8	0	0	490	10420			lbw	8lb	6lb	bow	bow	6	bow	2	4					flplbw	invlbw			1	5	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255	1	1	1	1	20					255			1	1	20					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	5	8	0	cbw	lbb	1	0	
Composite Bow	bow		cbw	lbw	cbw	0		2	1	0	xxx						1	4	8				-10		100	25	35	36	1	12	0	0	727	17224			cbw	8cb	6cb	bow	bow	6	bow	2	3					flpcbw	invcbw	invcbwu	invcbwu	1	4	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255	1	1	1	2	20					255					255					255					255					255		1			255		1			255		1			255					255					255					255					255					255	5	8	0	sbb	swb	1	0	
Short Battle Bow	bow		sbb	sbb	sbb	0		2	1	0	xxx						1	5	11						100	30	40	40	1	18	0	0	1045	30310			sbb	8s8	6s7	bow	bow	6	bow	2	3					flpsbb	invsbb	invsbbu	invsbbu	1	5	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255	1	1	1	2	20					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					20					255					255					255	5	8	0	lbb	lwb	1	0	
Long Battle Bow	bow		lbb	lbb	lbb	0		2	1	0	xxx						1	3	18				10		100	40	50	44	1	23	0	0	1545	49535			lbb	8l8	6l7	bow	bow	6	bow	2	4					flplbb	invlbb			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					20					255					255					255	5	8	0	swb	lwb	1	0	
Short War Bow	bow		swb	sbb	swb	0		2	1	0	xxx						1	6	14						100	35	55	48	1	27	0	0	2500	83500			swb	8sw	6sw	bow	bow	6	bow	2	3					flpswb	invswb	invswbu	invswbu	1	5	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255		1		1	1		1		1	1					255	1	1	1	1	20	1	1	1	2	20					255					255	5	8	0	lwb	xxx	1	0	
Long War Bow	bow		lwb	lbb	lwb	0		2	1	0	xxx						1	3	23				10		100	50	65	55	1	31	0	0	3575	128825			lwb	8lw	6lw	bow	bow	6	bow	2	4					flplwb	invlwb			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20	1	1	1	2	20					255					255	5	8	0	xxx	xxx	1	0	
Light Crossbow	xbow		lxb	lxb	lxb	0		2	1	0	xxx						1	6	9				-10		100	21	27	30	1	6	0	0	803	10318			lxb	8lx	6lx	xbw	xbw	5	xbow	2	3					flplxb	invlxb	invlxbu	invlxbu	1	3	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1		1		1	1					255					255					255					255					255					255					255					255	1	1	1	1	255					255					255					255					255					255					255					255	5	8	0	mxb	rxb	1	0	
Crossbow	xbow		mxb	lxb	mxb	0		2	1	0	xxx						1	9	16						100	40	33	40	1	15	0	0	2345	45175			mxb	8mx	6mx	xbw	xbw	5	xbow	2	3					flpmxb	invmxb	invmxbu	invmxbu	1	4	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255	1	1	1	1	20					255					255					255					255					255					1	1	1		1	1	1	1		1	1					255					255					255					255					255	5	8	0	hxb	hxb	1	0	
Heavy Crossbow	xbow		hxb	hxb	hxb	0		2	1	0	xxx						1	14	26				10		100	60	40	50	1	24	0	0	4096	112804			hxb	8hx	6hx	xbw	xbw	5	xbow	2	4					flphxb	invhxb	invhxbu	invhxbu	1	6	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255		1		1	1		1		1	1					255	1	1	1	1	20		1	1	1	20					255					255	5	8	0	xxx	xxx	1	0	
Repeating Crossbow	xbow		rxb	hxb	rxb	0		2	1	0	xxx						1	6	12				-40		100	40	50	40	1	33	0	0	2739	109387			rxb	8rx	6rx	xbw	xbw	5	xbow	2	3					flprxb	invrxb	invrxbu	invrxbu	1	5	0	fires 5 shots before reload	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	20		1	1	2	20					255					255	5	8	0	xxx	xxx	1	0	
Rancid Gas Potion	tpot		gps	gpl	gps	0			1	0	xxx			0	1													2	1	32	0	24	200	0			gps			1ht	1ht	5	hth	1	1	1	3	25	6	flpgpl	invgpl					0		0	item_potion	14	item_potion	0	0	5	0	1	0			49	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx	0	1	
Oil Potion	tpot		ops	opl	ops	0			1	0	xxx			0	1													2	1	28	0	20	150	0			ops			1ht	1ht	5	hth	1	1	1	3	25	6	flpopl	invopl					0		0	item_potion	14	item_potion	0	0	5	0	1	0			46	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx	0	1	
Choking Gas Potion	tpot		gpm	gps	gpm	0			1	0	xxx			0	1													2	1	20	0	16	120	0			gpm			1ht	1ht	5	hth	1	1	1	3	25	6	flpgps	invgpm					0		0	item_potion	14	item_potion	0	0	5	0	1	0			48	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx	0	1	
Exploding Potion	tpot		opm	opl	opm	0			1	0	xxx			0	1													2	1	16	0	12	80	0			opm			1ht	1ht	5	hth	1	1	1	3	25	6	flpops	invopm					0		0	item_potion	14	item_potion	0	0	5	0	1	0			45	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx	0	1	
Strangling Gas Potion	tpot		gpl	gps	gpl	0			1	0	xxx			0	1													2	1	8	0	6	40	0			gpl			1ht	1ht	5	hth	1	1	1	3	25	6	flpgps	invgps					0		0	item_potion	14	item_potion	0	0	5	0	1	0			47	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx	0	1	
Fulminating Potion	tpot		opl	ops	opl	0			1	0	xxx			0	1													2	1	4	0	0	24	0			opl			1ht	1ht	5	hth	1	1	1	3	25	6	flpops	invops					0		0	item_potion	14	item_potion	0	0	5	0	1	0			44	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx	0	1	
Decoy Gidbinn	knif		d33	dgr	d33	0				0	xxx			1	2								-20	100		15	20	10		0	0	0	666	0			d33			1ht	1ht	5	1ht	1	2					flpd33	invd33					0		0	item_smallmetalweapon	12	item_smallmetalweapon	1	0	5	0	0	0	18	1	0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	0	0	
The Gidbinn	knif		g33	dgr	g33	0				0	xxx			3	7								-20	100		15	25	30		0	0	0	666	0			g33			1ht	1ht	5	1ht	1	2					flpg33	invg33					0		0	item_smallmetalweapon	12	item_smallmetalweapon	1	0	5	0	0	0	18	1	0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	0	0	
Wirt's Leg	club		leg	clb	leg	0				0	xxx			2	8								-10	100				66		0	0	0	20	0			leg			1hs	1hs	5	1hsl	1	3					flpleg	invleg			1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0	1	1	0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0	
Horadric Malus	hamm		hdm	whm	hdm	0				0	xxx			6	15								20	100		15	15	55		0	0	0	600	0			hdm			1hs	1hs	5	1hsl	1	2					flphmr	invhmr					0		0	item_sword	12	item_sword	1	0	5	0	0	0	4	1	0	7	0	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	0	0	
Hellforge Hammer	hamm		hfh	whm	hfh	0				0	xxx			6	15									100				55		0	0	0	600	0			hfh			1hs	1hs	5	1hsl	2	3					flphmr	invhfh			1	5	0		0	item_sword	12	item_sword	1	0	5	0	0	0	25	1	0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	0	0	
Horadric Staff	staf		hst	bst	hst	0				0	xxx						1	12	20			2		100		30		50		0	0	0	1223	0			hst			stf	stf	5	staf	1	4					flphst	invhst					0	magically charged	0	item_staff	12	item_staff	1	0	5	0	0	0	10	1	0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	0	0	
Staff of Kings	staf		msf	bst	msf	0				0	xxx						1	10	15			2		100		25		45		0	0	0	1223	0			msf			stf	stf	5	staf	1	3					flpmsf	invmsf					0	magically charged	0	item_staff	12	item_staff	1	0	5	0	0	0	10	1	0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	0	0	
Hatchet	axe		9ha	hax	9ha	0		3	1	0	xxx			10	21									100		25	25	28		31	0	19	810	43110			hax	9ha	7ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	0	xxx	xxx	1	0	
Cleaver	axe		9ax	axe	9ax	0		4	1	0	xxx			10	33							1	10	100		68		24		34	0	22	1509	70806			axe	9ax	7ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	0	xxx	xxx	1	0	
Twin Axe	axe		92a	axe	92a	0		4	1	0	xxx			13	38							1	10	100		85		24		39	0	25	2919	135841			2ax	92a	72a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	0	xxx	xxx	1	0	
Crowbill	axe		9mp	axe	9mp	0		4	1	0	xxx			14	34							1	-10	100		94	70	26		43	0	25	4563	220209			mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0	
Naga	axe		9wa	hax	9wa	0		4	1	0	xxx			16	45							2		100		121		26		48	0	25	6669	346612			wax	9wa	7wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0	
Military Axe	axe		9la	lax	9la	0		4	1	0	xxx						1	14	34			1	-10	100		73		30		34	0	22	1362	65808			lax	9la	7la	stf	stf	5	2hsl	2	3					flplax	invlax			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0	
Bearded Axe 	axe		9ba	lax	9ba	0		4	1	0	xxx						1	21	49			1		100		92		35		38	0	25	2718	124784			bax	9ba	7ba	stf	stf	5	2hsl	2	3					flpbrx	invbrx			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0	
Tabar	axe		9bt	btx	9bt	0		4	1	0	xxx						1	24	77			1	10	100		101		40		42	0	25	4086	195112			btx	9bt	7bt	stf	stf	5	2hsl	2	3					flpbtx	invbtx	inv9btu	inv9btu	1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	0	xxx	xxx	1	0	
Gothic Axe	axe		9ga	btx	9ga	0		4	1	0	xxx						1	18	70			2	-10	100		115	79	50		46	0	25	6048	303708			gax	9ga	7ga	stf	stf	5	2hsl	2	4					flpgax	invgax	invgaxu	invgaxu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0	
Ancient Axe	axe		9gi	gix	9gi	0		4	1	0	xxx						1	43	85			3	10	100		125		50		51	0	25	7530	412030			gix	9gi	7gi	stf	stf	5	2hsl	2	3					flpgix	invgix	inv9giu	inv9giu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0	
Burnt Wand	wand		9wn	wnd	9wn	0		1	1	0	xxx			8	18									100		25		15		31	0	19	915	46365	1		wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd			1	1	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0	
Petrified Wand	wand		9yw	ywn	9yw	0		1	1	0	xxx			8	24								10	100		25		15		38	0	25	2535	117830	1		ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0	
Tomb Wand	wand		9bw	bwn	9bw	0		1	1	0	xxx			10	22								-20	100		25		15		43	0	25	4188	204084	1		bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0	
Grave Wand	wand		9gw	bwn	9gw	0		1	1	0	xxx			13	29									100		25		15		49	0	25	6594	350106	1		gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn	inv9gwu	inv9gwu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0	
Cudgel	club		9cl	clb	9cl	0		1	1	0	xxx			6	21								-10	100		25		24		30	0	18	396	29380			clb	9cl	7cl	1hs	1hs	5	club	1	3					flpclb	invclb	invclbu	invclbu	1	2	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	0	xxx	xxx	1	0	
Rune Scepter	scep		9sc	mac	9sc	0		2	1	0	xxx			13	24									100		58		50		31	0	19	1350	59850			scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	2	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0	
Holy Water Sprinkler	scep		9qs	mac	9qs	0		4	1	0	xxx			14	36							1	10	100		76		60		40	0	25	3627	167580			gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0	
Divine Scepter	scep		9ws	whm	9ws	0		4	1	0	xxx			16	38							1	-10	100		103		70		45	0	25	7269	352105			wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	5	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0	
Barbed Club	club		9sp	clb	9sp	0		3	1	0	xxx			13	25							1		100		30		36		32	0	20	975	49700			spc	9sp	7sp	1hs	1hs	5	1hsl	1	3					flpspc	invspc	invspcu	invspcu	1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0	
